"sample_SRR5343917" "sample_SRR5343918" "sample_SRR5343919" "sample_SRR5343920" "sample_SRR5343921" "sample_SRR5343922" "sample_SRR5343923" "sample_SRR5343924" "sample_SRR5343925" "sample_SRR5343926"
"ENSG00000010165" 6800 6343 2620 2418 3786 6154 2558 3163 3052 5052
"ENSG00000010219" 820 1434 732 1171 856 1198 786 922 1092 982
"ENSG00000010244" 8843 8852 5319 5393 11087 12014 6580 5140 6781 6229
"ENSG00000010256" 11839 13245 11230 9863 11021 14896 8948 7128 9448 19094
"ENSG00000010270" 2005 1633 4833 2610 6196 6854 3791 3445 3844 3164
"ENSG00000010278" 3717 12626 9852 9548 22753 23184 27285 27082 10790 10716
"ENSG00000010282" 11 33 14 68 2 6 0 1 0 1
"ENSG00000010292" 6250 3950 2120 3765 8828 8549 6322 8854 4229 7542
"ENSG00000010295" 2247 4737 2048 3516 1356 1609 4318 4415 2801 2067
"ENSG00000010310" 9 32 68 146 174 73 435 335 148 37
"ENSG00000010318" 187 244 254 375 329 578 378 284 222 212
"ENSG00000010319" 269 140 222 942 1980 3257 1332 333 908 4284
"ENSG00000010322" 4383 7613 3304 5334 7658 7465 8010 4766 3530 3646
"ENSG00000010327" 643 1161 5927 11160 3751 7612 14515 3227 6893 16953
"ENSG00000010361" 1237 1809 796 905 818 1211 1398 1268 206 485
"ENSG00000010379" 3 14 1 4 5 6 4 2 14 3
"ENSG00000010404" 10973 20256 4473 5540 11288 11784 12969 10338 5157 4054
"ENSG00000010438" 1 0 2 2 131 298 5 7 1 3
"ENSG00000010539" 1635 2021 608 702 768 996 300 375 708 557
"ENSG00000010610" 7368 3678 2241 9142 1280 2567 5192 1664 4382 6970
"ENSG00000010626" 748 884 572 615 660 987 415 412 397 456
"ENSG00000010671" 1027 206 554 1024 245 284 587 211 1267 629
"ENSG00000010704" 54 35 169 214 1695 1640 1177 784 529 574
"ENSG00000010803" 2912 2576 900 1078 1980 2241 680 517 1088 1615
"ENSG00000010810" 5038 6289 1835 4143 7692 10738 5513 3986 4179 6598
"ENSG00000010818" 2074 2556 611 1152 3058 1725 3617 2959 1608 1845
"ENSG00000010932" 131 93 161 275 62 15 2717 822 98 1066
"ENSG00000011007" 4403 4386 2336 3258 4076 4728 4721 4312 3330 3722
"ENSG00000011009" 6543 7347 5063 5485 4477 7448 6298 6334 4259 5628
"ENSG00000011021" 1628 1838 1980 2449 1229 1907 1609 1621 1212 1102
"ENSG00000011028" 644 1545 1346 4990 60908 79400 22689 6574 4532 22049
"ENSG00000011052" 15 25 5 11 26 40 5 66 5 16
"ENSG00000011083" 1 0 2 20 2 2 21 3 42 26
"ENSG00000011105" 3269 1756 1293 2037 3430 2855 3397 2209 3157 7440
"ENSG00000011114" 2198 2295 996 907 1910 1924 2870 2324 1297 1647
"ENSG00000011132" 1039 1396 988 1343 1193 1452 1122 902 598 945
"ENSG00000011143" 997 1237 519 616 893 1488 375 357 460 499
"ENSG00000011198" 798 859 425 495 797 1055 676 538 895 849
"ENSG00000011201" 37 33 112 386 77 128 385 244 685 283
"ENSG00000011243" 2360 3851 1323 2617 2818 3092 2045 2548 1407 1395
"ENSG00000011258" 1191 1162 1253 970 1500 1748 891 722 1000 688
"ENSG00000011260" 6125 3760 3363 2092 3422 6656 1877 2275 3254 2983
"ENSG00000011275" 3248 3141 3127 4749 9350 9792 5255 3838 3058 4037
"ENSG00000011295" 4399 5811 2649 2539 3255 5410 1571 1570 2512 2031
"ENSG00000011304" 18913 17382 5118 9125 19897 24083 18397 12541 9600 16415
"ENSG00000011332" 71 55 42 50 120 223 37 3 192 214
"ENSG00000011347" 350 158 167 158 326 112 653 483 191 923
"ENSG00000011376" 2728 2192 1908 1874 3395 3901 1600 1849 1167 1667
"ENSG00000011405" 3205 3867 2365 2415 5196 6321 3466 2438 2225 1973
"ENSG00000011422" 567 781 403 2020 4051 1893 25031 10734 3021 5213
"ENSG00000011426" 2884 982 4839 4410 9887 5677 6251 6522 5182 5014
"ENSG00000011451" 5217 5929 1745 3640 4375 5061 2964 1629 2201 3867
"ENSG00000011454" 2333 2935 1302 2191 3483 4268 2009 1787 2501 2898
"ENSG00000011465" 3475 7339 4535 8239 26380 12728 69049 21628 12419 56488
"ENSG00000011478" 1839 3085 3351 2790 1084 2033 847 611 2546 2382
"ENSG00000011485" 5120 5366 2329 2987 4550 6488 3110 3162 2685 5099
"ENSG00000011523" 2363 1785 907 1255 1638 2438 1617 952 1515 2170
"ENSG00000011566" 2000 3160 1547 1100 2156 2174 3107 2027 3359 1657
"ENSG00000011590" 12 37 32 93 14 11 58 54 58 17
"ENSG00000011600" 746 1413 4355 8815 1556 2848 4385 1447 11236 10812
"ENSG00000011638" 3161 2761 880 727 867 1674 844 1488 1915 1672
"ENSG00000011677" 1033 74 235 314 430 580 38 83 199 121
"ENSG00000012048" 1062 990 1327 1377 3036 4033 1896 1904 2201 1449
"ENSG00000012061" 4198 4664 3174 4780 15476 7726 5672 3260 2319 3584
"ENSG00000012124" 2201 812 298 594 763 1036 234 89 324 155
"ENSG00000012171" 2042 13427 51 341 53862 31586 62261 46935 393 4522
"ENSG00000012174" 3641 3233 1791 1420 3798 4316 1487 2463 1177 1134
"ENSG00000012211" 1223 1579 292 456 551 805 454 610 611 699
"ENSG00000012223" 59 28 131 237 33 10 69 34 68 454
"ENSG00000012232" 10332 10369 3595 5204 2128 2465 4190 4002 2999 4114
"ENSG00000012504" 0 0 42 41 2 1 0 1 1 0
"ENSG00000012660" 15278 9996 4569 4990 8915 7399 5654 5544 5895 7294
"ENSG00000012779" 116 337 397 1537 823 480 1134 396 1651 953
"ENSG00000012817" 2448 6813 1894 2838 3510 3264 1251 316 899 1413
"ENSG00000012822" 4148 7019 2406 4360 4878 5787 3850 2753 2455 3291
"ENSG00000012963" 2724 3473 1449 1660 2140 2317 2046 2858 1855 2313
"ENSG00000012983" 5584 5811 1856 2336 4604 3187 4814 3494 1950 1901
"ENSG00000013016" 1401 2881 2100 4459 2495 3058 754 365 596 1833
"ENSG00000013275" 5165 6941 4349 6762 8791 11312 4894 3893 5386 7853
"ENSG00000013288" 7896 8962 2252 5190 3487 4999 4972 1883 2473 3322
"ENSG00000013293" 0 0 1 0 15 4 1 1 1 0
"ENSG00000013297" 7 13 57 210 82 48 65 92 61 128
"ENSG00000013306" 6692 7810 5457 6814 7304 9143 3545 1846 7813 8151
"ENSG00000013364" 16244 30740 3944 10123 16239 22047 9144 7443 5215 9791
"ENSG00000013374" 3626 3632 4737 8099 3389 2987 5287 5309 5267 4889
"ENSG00000013375" 1501 1901 1301 1430 4074 3580 2509 1584 1830 1790
"ENSG00000013392" 241 398 629 586 486 428 346 198 248 249
"ENSG00000013441" 1442 5050 5523 4216 8581 4176 5006 3237 3766 2257
"ENSG00000013503" 1370 1288 677 748 704 840 785 1195 691 740
"ENSG00000013523" 1910 1767 1388 1903 1215 703 1612 1614 997 1051
"ENSG00000013561" 6063 7469 5335 4328 3705 5178 2517 2567 3370 2981
"ENSG00000013563" 2251 2637 451 714 978 1283 935 832 685 826
"ENSG00000013573" 1961 3597 1157 1909 2811 2022 1985 2028 2781 2232
"ENSG00000013583" 3500 2684 2305 2302 1314 2095 744 268 2519 2439
"ENSG00000013588" 11 1 3127 4235 871 2146 257 426 1127 894
"ENSG00000013619" 2424 3466 534 1101 671 654 1321 1180 569 877
"ENSG00000013725" 15 203 282 795 41 60 123 38 356 235
"ENSG00000013810" 3779 1877 1556 3127 2346 2108 1851 1276 3537 5654
"ENSG00000014123" 1971 2225 2628 2242 3881 3173 2717 2110 1708 1222
"ENSG00000014138" 1143 947 889 1198 1596 1875 1094 864 734 1298
"ENSG00000014164" 1544 1490 573 1363 3055 3297 1701 1056 1038 1299
"ENSG00000014216" 12093 12852 2614 5269 5344 8842 5158 2750 3193 6580
"ENSG00000014257" 6 12 7 36 9937 671 66 2009 48 51
"ENSG00000014641" 11628 11292 7293 5788 10231 19469 12492 10412 20798 15298
"ENSG00000014824" 6410 7044 3802 2734 4054 4036 4605 5303 3256 2501
"ENSG00000014914" 1223 1497 217 455 943 604 1634 929 698 557
"ENSG00000014919" 3129 3167 1620 1673 1513 2462 1820 1570 1911 1538
"ENSG00000015133" 579 190 329 650 309 284 1762 1165 581 660
"ENSG00000015153" 938 880 910 496 712 723 731 628 841 534
"ENSG00000015171" 7475 8314 2467 2631 4289 3539 1818 717 3117 3594
"ENSG00000015285" 74 216 486 1923 495 442 772 175 1035 1102
"ENSG00000015413" 2 5 13 6 12 8 159 166 6 111
"ENSG00000015475" 2008 1666 1984 1657 3223 6548 1180 522 2498 2820
"ENSG00000015479" 6 184 188 120 121 65 125 100 144 56
"ENSG00000015520" 3 3 1 2 12 4 6 0 0 2
"ENSG00000015532" 3182 2701 1692 2404 2551 3345 960 494 1673 2396
"ENSG00000015568" 17 46 25 26 112 92 203 54 55 14
"ENSG00000015592" 0 0 1 0 0 1 21 6 0 0
"ENSG00000015676" 5066 5094 6194 8701 11294 15472 4236 4632 3983 6441
"ENSG00000016082" 68 297 1 13 90 263 1 0 0 1
"ENSG00000016391" 9 22 26 39 1651 1309 78 126 456 129
"ENSG00000016402" 6 10 9 10 72 65 114 12 7 74
"ENSG00000016490" 0 1 0 0 0 0 0 0 0 0
